Circuit,Nb,Total,Average
Adelaide,11,2082,189.27272727272728
Aida,2,423,211.5
Ain-Diab,1,166,166
Aintree,5,917,183.4
Anderstorp,6,969,161.5
Austin,10,1854,185.4
Avus,1,161,161
Bakou,7,270,38.57142857142857
Barcelone,33,6658,201.75757575757575
Brands-Hatch,14,2185,156.07142857142858
Bremgarten,5,603,120.6
Buenos-Aires,20,2892,144.6
Caesars-Palace,2,356,178
Clermont-Ferrand,4,407,101.75
Dallas,1,218,218
Detroit,7,604,86.28571428571429
Dijon-Prenois,6,738,123
Djeddah,3,357,119
Donington,1,248,248
East-London,3,316,105.33333333333333
Estoril,13,2724,209.53846153846155
Fuji,4,978,244.5
Hockenheim,37,7045,190.40540540540542
Hungaroring,38,7103,186.92105263157896
Imola,30,238,7.933333333333334
Interlagos,39,7717,197.87179487179486
Istanbul,9,1715,190.55555555555554
Jacarepagua,10,2245,224.5
Jarama,9,1642,182.44444444444446
Jerez-de-la-Frontera,7,931,133
Kuala-Lumpur,19,4115,216.57894736842104
Kyalami,20,4156,207.8
Le-Castellet,18,3419,189.94444444444446
Le-Mans,1,85,85
Long-Beach,8,1425,178.125
Losail,2,644,322
Magny-Cours,18,2954,164.11111111111111
Melbourne,26,4459,171.5
Mexico-City,22,3185,144.77272727272728
Miami,2,340,170
Monaco,69,8735,126.59420289855072
Monsanto,1,73,73
Mont-Tremblant,2,261,130.5
Montjuic-Park,4,597,149.25
Montreal,42,8158,194.23809523809524
Monza,73,13451,184.26027397260273
Mosport-Park,8,1498,187.25
Mugello,1,130,130
New-Delhi,3,597,199
Nivelles,2,608,304
Nurburgring,41,3958,96.53658536585365
Osterreichring,18,3718,206.55555555555554
Pedralbes,2,300,150
Pescara,1,58,58
Phoenix,3,686,228.66666666666666
Portimao,2,350,175
Porto,2,170,85
Reims,11,1823,165.72727272727272
Riverside,1,213,213
Rouen-les-Essarts,5,535,107
Sakhir,20,4567,228.35
Sebring,1,96,96
Shanghai,16,3890,243.125
Silverstone,58,10929,188.43103448275863
Singapour,14,2853,203.78571428571428
Sochi,8,1248,156
Spa-Francorchamps,56,8925,159.375
Spielberg,19,3198,168.31578947368422
Suzuka,33,6316,191.3939393939394
Valencia,5,998,199.6
Watkins-Glen,20,2611,130.55
Yas-Marina,14,2602,185.85714285714286
Yeongam,4,907,226.75
Zandvoort,33,5091,154.27272727272728
Zeltweg,1,205,205
Zolder,10,2122,212.2
