#,Grand Prix,Circuit,Date,lat,long
1,Austria,Spielberg,05 July,47.2235862,14.7555404
2,Styria,Spielberg,12 July,47.2235862,14.7555404
3,Hungary,Hungaroring,19 July,47.5817579,19.2507484
4,Britain,Silverstone,02 August,52.07159,-1.01615
5,70th Anniversary,Silverstone,09 August,52.07159,-1.01615
6,Spain,Barcelone,16 August,41.5682768,2.2582064
7,Belgium,Spa-Francorchamps,30 August,50.4386283,5.9666064
8,Italy,Monza,06 September,45.6184477,9.2876756
9,Tuscany,Mugello,13 September,43.9971945,11.3722542
10,Russia,Sochi,27 September,43.4067237,39.9569962
11,Eifel,Nurburgring,11 October,50.3292676,6.942535
12,Portugal,Portimao,25 October,37.2288843,-8.627678
13,Emilia Romagna,Imola,01 November,44.3398577,11.7133288
14,Turkey,Istanbul,15 November,40.9552661,29.4096963
15,Bahrain,Sakhir,29 November,26.0303897,50.513543
16,Sakhir,Sakhir,06 December,26.0303897,50.513543
17,Abu Dhabi,Yas-Marina,13 December,24.4717208,54.6018358
