No.,Grand Prix,Circuit,Date,lat,long
1,Bahrain,Sakhir,05 March,26.0303897,50.513543
2,Saudi Arabia,Djeddah,19 March,21.6380938,39.0994433
3,Australia,Melbourne,02 April,-37.8491401,144.9698726
4,Azerbaijan,Bakou,30 April,40.3712591,49.8476935
5,Miami,Miami,07 May,25.9577398,-80.238678
6,Monaco,Monaco,28 May,43.7380948,7.4260503
7,Spain,Barcelone,04 June,41.5682768,2.2582064
8,Canada,Montreal,18 June,45.50589,-73.52411
9,Austria,Spielberg,02 July,47.2235862,14.7555404
10,Britain,Silverstone,09 July,52.07159,-1.01615
11,Hungary,Hungaroring,23 July,47.5817579,19.2507484
12,Belgium,Spa-Francorchamps,30 July,50.4386283,5.9666064
13,Netherlands,Zandvoort,27 August,52.3878911,4.5430609
14,Italy,Monza,03 September,45.6184477,9.2876756
15,Singapore,Singapour,17 September,1.2875346,103.8554768
16,Japan,Suzuka,24 September,34.8431556,136.5266977
17,Qatar,Losail,08 October,25.4904378,51.4538568
18,USA,Austin,22 October,30.1336367,-97.6345729
19,Mexico City,Mexico-City,29 October,19.4002574,-99.0902792
20,Sao Paulo,Interlagos,05 November,-23.7032926,-46.696961
21,Las Vegas,Las-Vegas,18 November,36.1170295,-115.1649455
22,Abu Dhabi,Yas-Marina,26 November,24.4717208,54.6018358
